 - Love numbers from file:./DATA/REF_6371_loading_love_numbers.txt
 - Green functions for MAX degree:       32768
 - Ice density (kg/m^3):   917.00000000000000     
 - Earth density (kg/m^3):   5505.0609557847711     
 - Load half-amplitude (deg):   2.5370000000000000E-002
 - Ice thickness variation: +1 m/year
 - ======= Grid properties (the grid has costant spacing) =======
 - Min and Max colatitudes (deg):   0.0000000000000000        60.000000000000000     
 - Colatitude increment(deg):   5.0740000000000004E-003
 - Number of grid points:       11825
#
#   Line        colat, deg        vert. vel., mm/yr    hor. vel., mm/yr     geoid vel., mm/yr
#
    285       0.14410160E+01      -0.16552521E-02      -0.76901708E-03       0.85995259E-03
    286       0.14460900E+01      -0.16457722E-02      -0.76809425E-03       0.85642454E-03
    287       0.14511640E+01      -0.16370386E-02      -0.76182276E-03       0.85303015E-03
    288       0.14562380E+01      -0.16318719E-02      -0.76081964E-03       0.85022302E-03
    289       0.14613120E+01      -0.16193102E-02      -0.75502608E-03       0.84623965E-03
    290       0.14663860E+01      -0.16177460E-02      -0.75337548E-03       0.84403852E-03
    291       0.14714600E+01      -0.16024769E-02      -0.74855530E-03       0.83964589E-03
    292       0.14765340E+01      -0.16030426E-02      -0.74585719E-03       0.83781333E-03
    293       0.14816080E+01      -0.15867937E-02      -0.74228961E-03       0.83328879E-03
    294       0.14866820E+01      -0.15875979E-02      -0.73839658E-03       0.83152006E-03
    295       0.14917560E+01      -0.15723056E-02      -0.73608658E-03       0.82717456E-03
    296       0.14968300E+01      -0.15714681E-02      -0.73113134E-03       0.82516664E-03
    297       0.15019040E+01      -0.15588414E-02      -0.72981396E-03       0.82127458E-03
    298       0.15069780E+01      -0.15549108E-02      -0.72417386E-03       0.81879353E-03
    299       0.15120520E+01      -0.15460545E-02      -0.72337851E-03       0.81553212E-03
    300       0.15171260E+01      -0.15383230E-02      -0.71758633E-03       0.81246357E-03
    301       0.15222000E+01      -0.15335030E-02      -0.71674561E-03       0.80987513E-03
    302       0.15272740E+01      -0.15221486E-02      -0.71136747E-03       0.80624723E-03
    303       0.15323480E+01      -0.15207493E-02      -0.70994540E-03       0.80423223E-03
    304       0.15374220E+01      -0.15067777E-02      -0.70545376E-03       0.80020630E-03
