    n                 h                 l                 k
        384  0.4973133483D-02  0.3138421323D-05  0.9539285848D-05
        385  0.4965861275D-02  0.3122417894D-05  0.9498737422D-05
        386  0.4958804503D-02  0.3106384193D-05  0.9458876867D-05
        387  0.4951714526D-02  0.3090476625D-05  0.9419152553D-05
        388  0.4944620927D-02  0.3074671592D-05  0.9379627484D-05
        389  0.4937551767D-02  0.3058955538D-05  0.9340362321D-05
        390  0.4930631486D-02  0.3043247972D-05  0.9301625817D-05
        391  0.4923585135D-02  0.3027721713D-05  0.9262816586D-05
        392  0.4916659585D-02  0.3012219990D-05  0.9224469981D-05
        393  0.4909751039D-02  0.2996808666D-05  0.9186358346D-05
        394  0.4902880228D-02  0.2981473574D-05  0.9148524426D-05
        395  0.4896100921D-02  0.2966178873D-05  0.9111081399D-05
        396  0.4889282858D-02  0.2951008849D-05  0.9073747604D-05
        397  0.4882490898D-02  0.2935921923D-05  0.9036660829D-05
        398  0.4875785365D-02  0.2920875731D-05  0.8999947082D-05
        399  0.4869089324D-02  0.2905921947D-05  0.8963440659D-05
        400  0.4862412976D-02  0.2891053437D-05  0.8927161523D-05
        401  0.4855824917D-02  0.2876221987D-05  0.8891252338D-05
        402  0.4849293702D-02  0.2861448837D-05  0.8855644249D-05
        403  0.4842681160D-02  0.2846828934D-05  0.8820045965D-05
        404  0.4836113462D-02  0.2832274640D-05  0.8784720724D-05
        405  0.4829594910D-02  0.2817782447D-05  0.8749675445D-05
        406  0.4823160554D-02  0.2803327036D-05  0.8714980663D-05
        407  0.4816723174D-02  0.2788968612D-05  0.8680453287D-05
        408  0.4810303891D-02  0.2774692352D-05  0.8646135744D-05
        409  0.4803920966D-02  0.2760484625D-05  0.8612064010D-05
        410  0.4797627285D-02  0.2746307371D-05  0.8578344639D-05
        411  0.4791277388D-02  0.2732263139D-05  0.8544677634D-05
        412  0.4784966826D-02  0.2718284313D-05  0.8511257604D-05
        413  0.4778724376D-02  0.2704348441D-05  0.8478140968D-05
        414  0.4772490277D-02  0.2690498780D-05  0.8445204507D-05
        415  0.4766208222D-02  0.2676776859D-05  0.8412333429D-05
        416  0.4760131593D-02  0.2662993998D-05  0.8380037005D-05
        417  0.4754091920D-02  0.2649275744D-05  0.8347973092D-05
        418  0.4747884786D-02  0.2635770248D-05  0.8315730339D-05
        419  0.4741765580D-02  0.2622290354D-05  0.8283820524D-05
        420  0.4735686036D-02  0.2608869829D-05  0.8252144805D-05
        421  0.4729686480D-02  0.2595479511D-05  0.8220781735D-05
        422  0.4723678099D-02  0.2582184111D-05  0.8189553064D-05
